House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Moore Crescent,Joanne,Edwards,20,Lodger,Single,Female,University Student,None,None
2,Moore Crescent,Norman,Oliver,55,Head,Married,Male,Hydrographic surveyor,None,Christian
2,Moore Crescent,Amy,Oliver,49,Wife,Married,Female,"Engineer, civil (consulting)",None,Christian
3,Moore Crescent,Wendy,White,55,Head,Married,Female,Health service manager,None,Methodist
3,Moore Crescent,Antony,White,60,Husband,Married,Male,Armed forces logistics/support/administrative officer,None,Methodist
3,Moore Crescent,Benjamin,White,21,Son,Single,Male,University Student,None,Methodist
3,Moore Crescent,Duncan,White,17,Son,NA,Male,Student,None,NA
3,Moore Crescent,Kelly,White,14,Daughter,NA,Female,Student,None,NA
4,Moore Crescent,Charlotte,Vincent,33,Head,Married,Female,Camera operator,None,Catholic
4,Moore Crescent,Gordon,Vincent,34,Husband,Married,Male,Product manager,None,None
4,Moore Crescent,Shirley,Vincent,17,Daughter,NA,Female,Student,None,NA
4,Moore Crescent,Naomi,Vincent,14,Daughter,NA,Female,Student,None,NA
5,Moore Crescent,Alexander,Davis,50,Head,Single,Male,Unemployed,None,Christian
6,Moore Crescent,Malcolm,Bennett,49,Head,Married,Male,Arts development officer,None,Methodist
6,Moore Crescent,Jennifer,Bennett,48,Wife,Married,Female,Technical brewer,None,Methodist
7,Moore Crescent,Ellie,Collins,36,Head,Single,Female,Housing manager/officer,None,Catholic
7,Moore Crescent,Steven,Collins,10,Son,NA,Male,Student,None,NA
8,Moore Crescent,Antony,Ford,36,Head,Married,Male,"Designer, jewellery",None,Catholic
8,Moore Crescent,Victoria,Ford,31,Wife,Married,Female,"Designer, exhibition/display",None,Catholic
9,Moore Crescent,Jayne,Smith,34,Head,Single,Female,Financial trader,None,Jewish
9,Moore Crescent,Jake,Byrne,47,None,Single,Male,Unemployed,None,None
9,Moore Crescent,Dylan,Moore,58,None,Single,Male,Unemployed,None,None
10,Moore Crescent,Leah,Barker,36,Head,Married,Female,Horticultural consultant,None,Catholic
10,Moore Crescent,Marc,Barker,38,Husband,Married,Male,"Solicitor, Scotland",None,Catholic
10,Moore Crescent,Annette,Barker,16,Daughter,NA,Female,Student,None,NA
11,Moore Crescent,Melissa,Murphy,20,Head,Single,Female,Best boy,None,None
11,Moore Crescent,Roy,Davison,22,Partner,Single,Male,Tour manager,None,None
12,Moore Crescent,Megan,Evans,50,Head,Divorced,Female,Hydrologist,None,None
12,Moore Crescent,Ben,Evans,19,Son,Single,Male,Government social research officer,None,None
12,Moore Crescent,Christine,Evans,17,Daughter,NA,Female,Student,None,NA
13,Moore Crescent,Margaret,Taylor,41,Head,Married,Female,Data processing manager,None,Christian
13,Moore Crescent,Kenneth,Taylor,43,Husband,Married,Male,Art gallery manager,None,None
13,Moore Crescent,Joanne,Taylor,5,Daughter,NA,Female,Student,None,NA
13,Moore Crescent,Elaine,Taylor,5,Daughter,NA,Female,Student,None,NA
13,Moore Crescent,Sally,Taylor,3,Daughter,NA,Female,Child,None,NA
14,Moore Crescent,Chloe,Lowe,55,Head,Married,Female,Analytical chemist,None,Christian
14,Moore Crescent,Howard,Lowe,57,Husband,Married,Male,IT trainer,None,Christian
15,Moore Crescent,Eileen,Jones,44,Head,Married,Female,Retail banker,None,Christian
15,Moore Crescent,Allan,Jones,46,Husband,Married,Male,"Surveyor, building control",None,None
15,Moore Crescent,Nicholas,Crawford-Jones,9,Son,NA,Male,Student,None,NA
15,Moore Crescent,Paula,Crawford-Jones,5,Daughter,NA,Female,Student,None,NA
16,Moore Crescent,Janet,Williams,28,Head,Single,Female,Land/geomatics surveyor,None,Methodist
16,Moore Crescent,Jonathan,Williams,2,Son,NA,Male,Child,Blind,NA
17,Moore Crescent,Amanda,Harrison,89,Head,Single,Female,Retired Educational psychologist,None,Christian
18,Moore Crescent,Ryan,Brown,32,Head,Single,Male,"Teacher, music",None,None
19,Moore Crescent,Sophie,Kennedy,45,Head,Married,Female,Research scientist (maths),None,Christian
19,Moore Crescent,Lee,Kennedy,53,Husband,Married,Male,"Therapist, horticultural",None,Christian
19,Moore Crescent,Maurice,Kennedy,15,Son,NA,Male,Student,None,NA
19,Moore Crescent,Ann,Kennedy,14,Daughter,NA,Female,Student,None,NA
20,Moore Crescent,Gail,Fitzgerald,43,Head,Single,Female,"Investment banker, corporate",None,Christian
20,Moore Crescent,Simon,Fitzgerald,3,Son,NA,Male,Child,None,NA
21,Moore Crescent,Georgina,Williams,46,Head,Married,Female,"Buyer, industrial",None,Christian
21,Moore Crescent,Kyle,Williams,45,Husband,Married,Male,Tourism officer,None,None
22,Moore Crescent,Susan,Cross,38,Head,Single,Female,Hospital pharmacist,None,Christian
22,Moore Crescent,Mitchell,Byrne,39,Partner,Single,Male,Public relations account executive,None,None
23,Moore Crescent,Marcus,Browne,30,Head,Married,Male,Proofreader,None,Catholic
23,Moore Crescent,Nicole,Browne,28,Wife,Married,Female,"Librarian, public",None,Catholic
24,Moore Crescent,Dennis,Singh,35,Head,Divorced,Male,Unemployed,None,None
24,Moore Crescent,Melissa,Austin,36,Lodger,Divorced,Female,Public relations account executive,None,Catholic
25,Moore Crescent,Anna,Wells,79,Head,Married,Female,Retired Multimedia programmer,None,Christian
25,Moore Crescent,Declan,Wells,78,Husband,Married,Male,Retired Advertising art director,None,Christian
25,Moore Crescent,Alexander,Wells,36,Adopted Son,Single,Male,Unemployed,None,None
25,Moore Crescent,Steven,Wells,35,Son,Single,Male,Claims inspector/assessor,None,None
26,Moore Crescent,Hilary,Clayton,57,Head,Widowed,Female,Advertising copywriter,None,Christian
27,Moore Crescent,David,King,20,Head,Married,Male,University Student,None,Sikh
27,Moore Crescent,Abbie,King,21,Wife,Married,Female,University Student,None,Sikh
28,Moore Crescent,Rachel,Kent,47,Head,Married,Female,Manufacturing engineer,None,None
28,Moore Crescent,Jonathan,Kent,47,Husband,Married,Male,Tax adviser,None,None
29,Moore Crescent,Jean,Reed,57,Head,Single,Female,Secondary school teacher,None,None
30,Moore Crescent,Lynda,Morgan,63,Head,Married,Female,Trade mark attorney,None,Muslim
30,Moore Crescent,George,Morgan,63,Husband,Married,Male,Chartered public finance accountant,None,None
30,Moore Crescent,Steven,Morgan,20,Son,Divorced,Male,University Student,None,Muslim
30,Moore Crescent,Diana,Morgan,17,Daughter,NA,Female,Student,None,NA
30,Moore Crescent,Leonard,Morgan,16,Son,NA,Male,Student,None,NA
31,Moore Crescent,Jane,Jones,44,Head,Single,Female,Operational investment banker,None,Christian
31,Moore Crescent,Shaun,Fisher,45,Partner,Single,Male,Building control surveyor,None,Christian
32,Moore Crescent,Rebecca,Johnson,50,Head,Single,Female,"Engineer, manufacturing",None,None
32,Moore Crescent,Patrick,Bird,51,Partner,Single,Male,Firefighter,None,None
33,Moore Crescent,Bethany,Smith,52,Head,Married,Female,"Education officer, environmental",None,Christian
33,Moore Crescent,Mohamed,Smith,51,Husband,Married,Male,"Designer, fashion/clothing",None,Christian
33,Moore Crescent,Max,Smith,20,Son,Divorced,Male,University Student,None,Christian
33,Moore Crescent,Rita,Smith,17,Daughter,NA,Female,Student,None,NA
33,Moore Crescent,Billy,Smith,17,Son,NA,Male,Student,None,NA
34,Moore Crescent,Jasmine,Roberts,74,Head,Married,Female,"Retired Restaurant manager, fast food",None,Catholic
34,Moore Crescent,Tom,Roberts,77,Husband,Married,Male,"Retired Editor, commissioning",None,None
34,Moore Crescent,Mandy,Roberts,38,Daughter,Single,Female,"Exhibitions officer, museum/gallery",None,Catholic
35,Moore Crescent,Kim,Moore,45,Head,Single,Female,Electrical engineer,None,None
36,Moore Crescent,Kate,King,44,Head,Married,Female,Heritage manager,None,Catholic
36,Moore Crescent,Benjamin,King,45,Husband,Married,Male,Media buyer,None,None
36,Moore Crescent,Craig,King,18,Son,Single,Male,Student,None,None
36,Moore Crescent,Shannon,King,14,Daughter,NA,Female,Student,None,NA
36,Moore Crescent,Francesca,King,12,Daughter,NA,Female,Student,None,NA
37,Moore Crescent,David,Burton,21,Head,Single,Male,University Student,None,Catholic
37,Moore Crescent,Glen,Ward,20,None,Single,Male,University Student,None,None
38,Moore Crescent,Leon,McDonald,75,Head,Married,Male,"Retired Teacher, adult education",None,Christian
38,Moore Crescent,Lindsey,McDonald,79,Wife,Married,Female,Retired Herbalist,None,None
39,Moore Crescent,Jean,Townsend,66,Head,Single,Female,Agricultural consultant,None,Christian
40,Moore Crescent,Hilary,Thorpe,69,Head,Married,Female,Retired Production engineer,None,Christian
40,Moore Crescent,Simon,Thorpe,70,Husband,Married,Male,Retired Learning disability nurse,None,None
41,Moore Crescent,Yvonne,Duncan,32,Head,Divorced,Female,Drilling engineer,None,None
41,Moore Crescent,Sharon,Duncan,1,Daughter,NA,Female,Child,None,NA
42,Moore Crescent,Melanie,Bray,83,Head,Married,Female,Retired Hospital pharmacist,None,Christian
42,Moore Crescent,Geoffrey,Bray,86,Husband,Married,Male,Retired Teaching laboratory technician,None,Christian
43,Moore Crescent,Terry,Baker,32,Head,Single,Male,"Engineer, maintenance",None,None
43,Moore Crescent,Jemma,Sheppard,31,Partner,Single,Female,Training and development officer,None,None
44,Moore Crescent,Jennifer,Harrison,48,Head,Married,Female,Animator,None,None
44,Moore Crescent,Lawrence,Harrison,51,Husband,Married,Male,"Engineer, electronics",None,None
44,Moore Crescent,Martyn,Harrison,25,Son,Single,Male,Immigration officer,None,None
44,Moore Crescent,Reece,Harrison,22,Son,Single,Male,University Student,None,None
44,Moore Crescent,Samuel,Harrison,5,Son,NA,Male,Student,None,NA
45,Moore Crescent,Joel,Barton,30,Head,Single,Male,Careers information officer,None,None
46,Moore Crescent,Jenna,Chamberlain,47,Head,Married,Female,Emergency planning/management officer,None,None
46,Moore Crescent,Mitchell,Chamberlain,48,Husband,Married,Male,"Administrator, charities/voluntary organisations",None,None
46,Moore Crescent,Jordan,Chamberlain,15,Son,NA,Male,Student,None,NA
47,Moore Crescent,Judith,Higgins,60,Head,Married,Female,Materials engineer,None,Christian
47,Moore Crescent,Christopher,Higgins,63,Husband,Married,Male,Arboriculturist,None,None
47,Moore Crescent,Aaron,Higgins,24,Son,Single,Male,Research scientist (medical),None,None
47,Moore Crescent,Brian,Higgins,21,Son,Divorced,Male,University Student,None,Christian
47,Moore Crescent,Kathryn,Higgins,17,Daughter,NA,Female,Student,None,NA
1,Kennedy Avenue,Francesca,Robertson,68,Head,Widowed,Female,Retired Civil Service fast streamer,None,None
1,Kennedy Avenue,Thomas,Robertson,36,Son,Single,Male,Dealer,None,None
2,Kennedy Avenue,Alexandra,Booth,33,Head,Married,Female,Youth worker,None,None
2,Kennedy Avenue,Clifford,Booth,35,Husband,Married,Male,Insurance claims handler,None,None
3,Kennedy Avenue,Harry,Rogers,64,Head,Single,Male,Unemployed,None,None
3,Kennedy Avenue,Marcus,Rogers,25,Son,Single,Male,"Surveyor, minerals",None,None
3,Kennedy Avenue,Francesca,Rogers,24,Daughter,Single,Female,Educational psychologist,None,None
4,Kennedy Avenue,Katie,Smith,55,Head,Single,Female,"Scientist, forensic",None,Christian
4,Kennedy Avenue,Kyle,Dixon,54,Partner,Single,Male,Magazine journalist,None,None
4,Kennedy Avenue,Emma,Smith,17,Daughter,NA,Female,Student,None,NA
5,Kennedy Avenue,Ashley,Berry,18,Head,Single,Male,Student,None,NA
5,Kennedy Avenue,Hayley,Williams,20,Partner,Single,Female,University Student,None,None
6,Kennedy Avenue,Helen,Pearce,24,Head,Single,Female,PhD Student,None,None
6,Kennedy Avenue,Nicholas,Bell,18,None,Single,Male,University Student,None,Catholic
7,Kennedy Avenue,Jasmine,Wilson,19,Head,Married,Female,University Student,None,Catholic
7,Kennedy Avenue,Leslie,Wilson,22,Husband,Married,Male,University Student,None,None
8,Kennedy Avenue,Gemma,Richardson,54,Head,Single,Female,Environmental manager,None,Christian
8,Kennedy Avenue,Brandon,Richardson,23,Son,Single,Male,Product manager,None,Christian
9,Kennedy Avenue,Christian,Hyde,64,Head,Married,Male,Unemployed,None,Catholic
9,Kennedy Avenue,Amber,Hyde,62,Wife,Married,Female,Environmental consultant,None,Catholic
10,Kennedy Avenue,Kimberley,Thompson,22,Head,Single,Female,University Student,None,None
10,Kennedy Avenue,Dylan,Turner,21,None,Single,Male,University Student,None,None
11,Kennedy Avenue,Lucy,Boyle,33,Head,Single,Female,Unemployed,None,None
11,Kennedy Avenue,Ross,Boyle,10,Son,NA,Male,Student,None,NA
12,Kennedy Avenue,Roy,Collier,41,Head,Single,Male,Chief Technology Officer,None,Methodist
12,Kennedy Avenue,Howard,Collier,15,Step-Son,NA,Male,Student,None,NA
12,Kennedy Avenue,Rebecca,Rose,13,Step-Daughter,NA,Female,Student,None,NA
12,Kennedy Avenue,Roger,Taylor,12,Step-Son,NA,Male,Student,None,NA
13,Kennedy Avenue,Paula,Cox,22,Head,Single,Female,Unemployed,Disabled,Christian
13,Kennedy Avenue,Claire,Cox,5,Daughter,NA,Female,Student,None,NA
13,Kennedy Avenue,Thomas,Cox,1,Son,NA,Male,Child,None,NA
14,Kennedy Avenue,Elizabeth,Lord,45,Head,Married,Female,Visual merchandiser,None,None
14,Kennedy Avenue,Mohamed,Lord,49,Husband,Married,Male,Legal executive,None,None
15,Kennedy Avenue,Joyce,Holmes,27,Head,Single,Female,"Teacher, adult education",None,Christian
16,Kennedy Avenue,Robin,Clark,36,Head,Married,Male,Unemployed,None,Sikh
16,Kennedy Avenue,Margaret,Clark,29,Wife,Married,Female,Museum/gallery conservator,None,Sikh
17,Kennedy Avenue,Sylvia,James,57,Head,Married,Female,Energy engineer,None,Methodist
17,Kennedy Avenue,Jordan,James,58,Husband,Married,Male,Building control surveyor,None,None
17,Kennedy Avenue,Charlie,James,37,Son,Single,Male,Claims inspector/assessor,None,Methodist
17,Kennedy Avenue,Charlene,James,33,Daughter,Single,Female,Nutritional therapist,None,None
18,Kennedy Avenue,Geraldine,Begum,81,Head,Married,Female,Retired Community pharmacist,None,None
18,Kennedy Avenue,Kevin,Begum,83,Husband,Married,Male,"Retired Engineer, control and instrumentation",None,None
19,Kennedy Avenue,Maria,Evans,31,Head,Single,Female,"Engineer, broadcasting (operations)",None,Jewish
19,Kennedy Avenue,Jordan,Stone,41,None,Single,Male,"Runner, broadcasting/film/video",None,None
20,Kennedy Avenue,Heather,Pratt,37,Head,Divorced,Female,Unemployed,None,None
20,Kennedy Avenue,Bradley,Pratt,10,Son,NA,Male,Student,None,NA
21,Kennedy Avenue,Wendy,Parker,32,Head,Single,Female,Retail banker,None,Christian
21,Kennedy Avenue,Toby,Kerr,33,Partner,Single,Male,Fitness centre manager,None,None
21,Kennedy Avenue,June,Parker,11,Daughter,NA,Female,Student,None,NA
22,Kennedy Avenue,Georgia,Wong,41,Head,Divorced,Female,Government social research officer,None,None
22,Kennedy Avenue,Maurice,Armstrong,55,Lodger,Divorced,Male,"Scientist, research (medical)",None,Christian
23,Kennedy Avenue,Ruth,Bishop,19,Head,Single,Female,"Biochemist, clinical",None,Pagan
23,Kennedy Avenue,James,Curtis,19,Partner,Single,Male,University Student,None,None
24,Kennedy Avenue,Francesca,Wood,54,Head,Divorced,Female,"Therapist, music",None,Christian
24,Kennedy Avenue,Janet,Wood,21,Daughter,Single,Female,University Student,None,Christian
25,Kennedy Avenue,Leah,Butler,36,Head,Divorced,Female,Unemployed,None,Methodist
25,Kennedy Avenue,Mohammed,Butler,4,Son,NA,Male,Child,None,NA
25,Kennedy Avenue,Ronald,Coleman-Butler,0,Son,NA,Male,Child,None,NA
26,Kennedy Avenue,Holly,Barnes,70,Head,Married,Female,Retired Archaeologist,None,Catholic
26,Kennedy Avenue,Louis,Barnes,74,Husband,Married,Male,Retired Agricultural engineer,None,Catholic
27,Kennedy Avenue,Russell,Fletcher,60,Head,Married,Male,"Engineer, control and instrumentation",None,Christian
27,Kennedy Avenue,Annette,Fletcher,59,Wife,Married,Female,Geophysicist/field seismologist,None,Christian
28,Kennedy Avenue,Lynn,Jones,44,Head,Single,Female,Data scientist,None,Catholic
29,Kennedy Avenue,Natalie,Hargreaves,41,Head,Married,Female,Copy,None,None
29,Kennedy Avenue,Danny,Hargreaves,45,Husband,Married,Male,Unemployed,None,None
29,Kennedy Avenue,Lisa,Hargreaves,5,Daughter,NA,Female,Student,Mental Disability,NA
29,Kennedy Avenue,Adrian,Hargreaves,3,Son,NA,Male,Child,None,NA
30,Kennedy Avenue,Deborah,Akhtar,42,Head,Married,Female,Banker,None,None
30,Kennedy Avenue,Harry,Akhtar,48,Husband,Married,Male,"Engineer, aeronautical",None,None
30,Kennedy Avenue,Daniel,Akhtar,4,Son,NA,Male,Child,None,NA
30,Kennedy Avenue,Elizabeth,Akhtar,1,Daughter,NA,Female,Child,None,NA
30,Kennedy Avenue,Shaun,Whittaker,19,Sibling,Single,Male,University Student,None,None
31,Kennedy Avenue,Daniel,Johnson,20,Head,Single,Male,University Student,None,None
32,Kennedy Avenue,Zoe,Khan,45,Head,Married,Female,"Lecturer, further education",None,Christian
32,Kennedy Avenue,Declan,Khan,49,Husband,Married,Male,Town planner,None,Christian
32,Kennedy Avenue,Glenn,Khan,12,Son,NA,Male,Student,None,NA
32,Kennedy Avenue,Luke,Khan,8,Son,NA,Male,Student,None,NA
1,Kestrel Avenue,Ellie,Jones,73,Head,Widowed,Female,Retired Print production planner,None,Christian
1,Kestrel Avenue,Leonard,Jones,37,Son,Divorced,Male,Armed forces operational officer,None,None
2,Kestrel Avenue,Leah,Hartley,38,Head,Single,Female,Unemployed,None,Catholic
2,Kestrel Avenue,Vincent,Hartley,6,Son,NA,Male,Student,None,NA
2,Kestrel Avenue,Geoffrey,Hartley,5,Son,NA,Male,Student,None,NA
2,Kestrel Avenue,Victor,Hartley,1,Son,NA,Male,Child,None,NA
3,Kestrel Avenue,Leah,Ford,45,Head,Married,Female,"Nurse, adult",None,Christian
3,Kestrel Avenue,Abdul,Ford,48,Husband,Married,Male,Environmental education officer,None,Christian
3,Kestrel Avenue,Gail,Ford,16,Daughter,NA,Female,Student,None,NA
4,Kestrel Avenue,Margaret,Parry,48,Head,Single,Female,"Investment banker, corporate",None,None
4,Kestrel Avenue,Adam,Buckley,50,Partner,Single,Male,Unemployed,None,None
1,Kraken Road,Valerie,Gough,22,Head,Single,Female,University Student,None,None
1,Kraken Road,Jean,Ellis,22,None,Single,Female,University Student,None,Catholic
1,Kraken Road,Debra,West,19,None,Single,Female,University Student,None,Catholic
2,Kraken Road,Maureen,Cooper,64,Head,Divorced,Female,Unemployed,None,Christian
2,Kraken Road,Joanne,Cooper,34,Daughter,Single,Female,Primary school teacher,None,Christian
3,Kraken Road,Leanne,Payne,23,Head,Married,Female,Health promotion specialist,None,None
3,Kraken Road,Conor,Payne,27,Husband,Married,Male,Paramedic,None,None
3,Kraken Road,Brandon,Payne,6,Son,NA,Male,Student,None,NA
4,Kraken Road,Tracey,Hawkins,51,Head,Married,Female,Holiday representative,None,Christian
4,Kraken Road,Elliott,Hawkins,50,Husband,Married,Male,Radiation protection practitioner,None,Christian
4,Kraken Road,Francis,Hawkins,29,Son,Divorced,Male,Unemployed,None,Christian
5,Kraken Road,Jonathan,Davies,58,Head,Married,Male,Homeopath,None,Methodist
5,Kraken Road,Cheryl,Davies,52,Wife,Married,Female,"Editor, commissioning",None,Methodist
6,Kraken Road,Garry,Bryan,38,Head,Married,Male,Unemployed,None,None
6,Kraken Road,Hollie,Bryan,38,Wife,Married,Female,Mechanical engineer,None,None
7,Kraken Road,Dale,Powell,79,Head,Married, ,Retired TEFL teacher,None,None
7,Kraken Road,Jessica,Powell,78,Wife,Married,Female,"Retired Journalist, newspaper",None,None
8,Kraken Road,Shannon,Hill,35,Head,Single,Female,Art therapist,None,Christian
9,Kraken Road,Maria,Smith,60,Head,Single,Female,"Nurse, mental health",None,Christian
9,Kraken Road,Aaron,Roberts,40,None,Single,Male,Equities trader,None,Methodist
9,Kraken Road,Henry,Parker,61,None,Single,Male,Sports coach,None,None
9,Kraken Road,Claire,Clark,18,None,Single,Female,Student,None,NA
9,Kraken Road,Joanna,Sutton,27,None,Single,Female,Education administrator,None,Catholic
9,Kraken Road,Justin,Farrell,45,None,Single,Male,"Programmer, systems",None,Catholic
10,Kraken Road,Diane,Brown,74,Head,Divorced,Female,Unemployed,None,Christian
10,Kraken Road,Alice,Brown,44,Daughter,Single,Female,Waste management officer,None,Christian
11,Kraken Road,Yvonne,Wright,26,Head,Single,Female,Occupational therapist,None,Christian
11,Kraken Road,Charlotte,Price,20,None,Single,Female,University Student,None,None
12,Kraken Road,Patricia,Hunt,39,Head,Divorced,Female,Unemployed,None,Christian
12,Kraken Road,Leigh,Hunt,17,Son,NA,Male,Student,None,NA
13,Kraken Road,Amanda,Jones,56,Head,Married,Female,Social researcher,None,Christian
13,Kraken Road,Terence,Jones,58,Husband,Married,Male,Sport and exercise psychologist,None,Christian
14,Kraken Road,Jean,Ryan,42,Head,Married,Female,"Doctor, general practice",None,Catholic
14,Kraken Road,Jamie,Ryan,42,Husband,Married,Male,"Engineer, broadcasting (operations)",None,Catholic
14,Kraken Road,Jodie,Ryan,3,Daughter,NA,Female,Child,None,NA
14,Kraken Road,Stacey,Whitehead,55,Lodger,Single,Female,Comptroller,None,Christian
15,Kraken Road,Sylvia,Taylor,74,Head,Married,Female,Retired Industrial buyer,None,None
15,Kraken Road,Sam,Taylor,76,Husband,Married,Male,Retired Database administrator,None,None
16,Kraken Road,Andrea,Mann,33,Head,Married,Female,Animator,None,Catholic
16,Kraken Road,Martyn,Mann,31,Husband,Married,Male,Investment analyst,None,None
16,Kraken Road,Alexander,Mann,2,Son,NA,Male,Child,None,NA
16,Kraken Road,Annette,Jones,44,Lodger,Single,Female,Industrial/product designer,None,None
17,Kraken Road,Terence,Lynch,33,Head,Single,Male,Learning mentor,None,None
17,Kraken Road,Frances,Wong,47,Lodger,Single,Female,Unemployed,None,Catholic
17,Kraken Road,Brian,Stokes,42,Sibling,Single,Male,Higher education careers adviser,None,Catholic
17,Kraken Road,Harry,Bennett,45,Lodger,Single,Male,Conference centre manager,None,Christian
18,Kraken Road,Louis,Parker,28,Head,Divorced,Male,Human resources officer,None,None
19,Kraken Road,Arthur,Edwards,53,Head,Single,Male,Hydrographic surveyor,None,Christian
19,Kraken Road,Aaron,Lucas,20,None,Single,Male,"Therapist, sports",None,Catholic
19,Kraken Road,Thomas,Knight,27,None,Single,Male,Public librarian,None,None
19,Kraken Road,Beth,Taylor,20,None,Single,Female,University Student,None,Sikh
19,Kraken Road,Callum,Hunt,38,None,Single,Male,Stage manager,None,Christian
1,Arnold Springs,Julia,Dale,46,Head,Married,Female,"Surveyor, land/geomatics",None,None
1,Arnold Springs,Jay,Dale,48,Husband,Married,Male,Bonds trader,None,None
1,Arnold Springs,Amy,Dale,14,Daughter,NA,Female,Student,None,NA
2,Arnold Springs,Samantha,Lloyd,36,Head,Single,Female,Midwife,None,Catholic
2,Arnold Springs,Tracy,Lloyd,8,Daughter,NA,Female,Student,None,NA
2,Arnold Springs,Clive,Lloyd,4,Son,NA,Male,Child,None,NA
